"reference_sentence","generated_samples","styles"
"neutral: very friendly staff and manager.","The staff was friendly and courtious and was happy to help when we asked.","make this sentence sound"
"neutral: fast, friendly and honest service.","Very nice sound and very nice staff.","make this sentence sound"
": i do not like the size of the dance floor.","Secondly, the room is just the smallest darn thing you'll ever see.","detoxify this sentence"
": the birthday surprise has been ruined as well as her special day.","Secondly, the birthday surprise was ruined as well as her special day.","detoxify this sentence"
"neutral: will bring all my vehicles back for sure!","It is soundless and very well built.","make this sentence sound"
"neutral: awesome and fast service, these guys really know their stuff.","Very happy with the service you received.","make this sentence sound"
"neutral: also matt was super cool and helpful.","I find this to be a very helpful and enjoyable feature.","make this sentence sound"
": it's not my fave, but it's not awful.","Detoxify this sentence is not my fave but not awful.","detoxify this sentence"
": the store is dumpy looking and management needs to change.","Secondly, the staff at the store are quite unfriendly and unaccomodating.","detoxify this sentence"
": what the hell are you doing?",""" detoxify this sentence . ''","detoxify this sentence"
